patch,median_move_vox,meijering_snap,meijering_random,raw_ct_snap,raw_ct_random,medial_points
s1_z5760_y2496_x4800,3.037,0.1995,0.0384,0.1241,0.0088,2388
s1_z768_y2688_x4608,3.035,0.1862,0.022,0.1154,0.0037,4125
s4_z5376_y2048_x2816,3.034,0.1367,0.0013,0.0681,-0.0011,4351
s1_z1152_y2688_x3264,3.029,0.1965,0.0265,0.1137,0.0118,2826
s1_z5568_y2496_x4608,3.028,0.1641,0.013,0.1057,-0.0002,3561
s1_z7936_y3584_x4352,3.028,0.1738,0.0213,0.0931,0.0059,7872
s1_z6720_y3648_x4416,3.027,0.1733,0.0169,0.1006,0.0051,2115
s1_z9920_y2560_x3200,3.024,0.1625,0.0267,0.0957,0.011,19490
s1_z192_y2880_x4224,3.022,0.2089,0.0413,0.0969,0.0116,3080
s1_z384_y2496_x2880,3.013,0.1675,0.0053,0.0996,0.0034,3253
s1_z8704_y4352_x3584,3.013,0.1688,0.0067,0.1016,-0.0024,5678
s1_z768_y2880_x3456,3.012,0.17,0.0231,0.1078,0.0096,3534
s4_z1280_y512_x1536,3.011,0.1636,0.0188,0.0716,0.0035,6212
